time,gFx,gFy,gFz,TgF
4.046956,-0.3669,0.8568,0.2348,0.96
4.072461,-0.3928,0.8514,0.2245,0.96
4.089005,-0.4351,0.8292,0.2529,0.97
4.122614,-0.5326,0.7791,0.2973,0.99
4.140249,-0.5446,0.7554,0.3782,1.01
4.164178,-0.5152,0.7561,0.4468,1.02
4.180989,-0.4642,0.7388,0.4933,1
4.19115,-0.398,0.7239,0.4852,0.96
4.20702,-0.3286,0.7021,0.4649,0.9
4.248565,-0.312,0.7605,0.613,1.03
4.249045,-0.3218,0.7669,0.6332,1.05
4.277009,-0.4547,0.8174,0.7302,1.19
4.289507,-0.4942,0.7808,0.6999,1.16
4.323095,-0.3198,0.59,0.7009,0.97
4.340244,-0.3068,0.4935,0.7588,0.96
4.363032,-0.269,0.4036,0.7781,0.92
4.387253,-0.2238,0.3459,0.75,0.86
4.396973,-0.2184,0.3413,0.7112,0.82
4.424057,-0.2959,0.4329,0.7344,0.9
4.44063,-0.2722,0.4556,0.7209,0.9
4.464161,-0.1766,0.4813,0.7275,0.89
4.481305,-0.1126,0.504,0.6955,0.87
4.490031,-0.106,0.5143,0.6477,0.83
4.52437,-0.1104,0.4141,0.9276,1.02
4.547424,-0.0491,0.3337,0.828,0.89
4.569168,-0.0787,0.323,0.8773,0.94
4.576059,-0.0655,0.3071,0.9071,0.96
4.590862,-0.076,0.2856,1.0644,1.1
4.62469,-0.0726,0.2001,1.0337,1.06
4.648475,-0.0809,0.3667,1.0855,1.15
4.670175,-0.0608,0.2917,1.0447,1.09
4.676809,-0.01,0.2289,1.0395,1.06
4.708369,0.152,0.1507,1.1758,1.2
4.725545,0.1564,0.1852,1.1006,1.13
4.742457,0.0518,0.2106,1.0473,1.07
4.764015,-0.0171,0.2111,1.1294,1.15
4.787234,-0.0559,0.149,1.1746,1.19
4.807714,-0.0401,0.0799,1.1844,1.19
4.825737,0.01,-0.0552,0.9611,0.96
4.842033,0.0603,-0.1669,0.921,0.94
4.86645,0.0633,-0.1888,1.0979,1.12
4.885067,0.0379,-0.1224,1.1524,1.16
4.909533,0.0247,-0.0435,0.7625,0.76
4.926367,0.0403,-0.0704,0.8441,0.85
4.942475,0.1031,-0.088,1.1333,1.14
4.966856,0.1336,-0.1305,1.1719,1.19
4.980254,0.064,-0.1116,1.1248,1.13
5.009723,-0.0308,-0.1339,0.857,0.87
5.026128,0.0225,-0.119,0.9254,0.93
5.049239,0.0821,-0.0948,1.0161,1.02
5.068721,0.0581,-0.0704,1.0569,1.06
5.075517,0.0508,-0.0684,1.06,1.06
5.109992,0.0679,-0.1534,0.935,0.95
5.126901,0.1285,-0.1647,0.9159,0.94
5.150954,0.0669,-0.0337,0.9982,1
5.167475,0.0726,-0.0024,1.0046,1.01
5.17624,0.0608,-0.0054,1.0019,1
5.210018,-0.0037,-0.0159,0.9499,0.95
5.226687,0.0034,-0.0088,0.9943,0.99
5.25388,0.0728,-0.0809,1.0842,1.09
5.277381,0.0711,-0.1757,0.9362,0.96
5.293232,0.1048,-0.1898,1.0417,1.06
5.310063,0.1029,-0.1678,1.1052,1.12
5.327635,0.0572,-0.1151,1.0388,1.05
5.344103,0.0117,-0.0559,0.956,0.96
5.368911,-0.0611,0.0726,0.8859,0.89
5.386372,-0.0662,0.1165,0.9157,0.93
5.410657,0.0261,0.0398,0.9623,0.96
5.428482,0.0667,-0.0503,0.9992,1
5.451609,0.0897,-0.1417,0.9919,1.01
5.469724,0.0491,-0.1823,0.9491,0.97
5.494395,-0.0225,-0.1476,0.978,0.99
5.511746,-0.065,-0.0943,1.0056,1.01
5.527886,-0.0772,-0.0462,1.0051,1.01
5.552863,-0.0472,0.0042,0.9924,0.99
5.571517,-0.0198,0.0303,0.9567,0.96
5.59525,0.022,0.02,0.9665,0.97
5.612054,0.0371,0.0027,1.0144,1.02
5.62807,0.0513,-0.0056,1.0114,1.01
5.653046,0.053,-0.03,0.9711,0.97
5.669543,0.042,-0.0266,1.0007,1
5.694892,0.0205,-0.0103,1.0144,1.01
5.712083,0.0059,-0.0044,0.996,1
5.728594,0.0044,-0.0073,0.9833,0.98
5.753264,0.0393,-0.0386,0.9745,0.98
5.771599,0.0457,-0.0481,0.9777,0.98
5.795316,0.0303,-0.0525,0.9738,0.98
5.81192,0.0151,-0.0442,0.9789,0.98
5.828422,0.0112,-0.0501,0.9929,0.99
5.85277,0.01,-0.0435,0.996,1
5.869763,0.0122,-0.0501,0.9824,0.98
5.89533,0.0337,-0.0523,0.9694,0.97
5.912416,0.0484,-0.0638,0.9313,0.93
5.929783,0.0733,-0.0691,0.9462,0.95
5.952248,0.0655,-0.0581,1.0481,1.05
5.969459,0.0154,-0.0393,1.0168,1.02
5.995884,-0.0518,-0.0147,0.9501,0.95
6.013447,-0.0503,-0.0225,0.9963,1
6.029902,-0.0435,-0.034,1.0444,1.05
6.053454,-0.0523,-0.0435,1.0398,1.04
6.068825,-0.0884,-0.0274,1.0107,1.01
6.096998,-0.1686,0.0335,0.9657,0.98
6.113631,-0.1043,0.0007,0.9469,0.95
6.130407,-0.0638,0.0171,0.9677,0.97
6.154819,-0.0589,0.0349,1.0061,1.01
6.171212,-0.0533,0.0308,0.9782,0.98
6.197208,-0.0545,0.0059,0.956,0.96
6.214199,-0.052,-0.0144,0.9816,0.98
6.231078,-0.0352,-0.0364,1.0063,1.01
6.263345,-0.0147,-0.045,1.0061,1.01
6.28841,0.0042,-0.0281,0.997,1
6.288885,0.0042,-0.0281,0.997,1
6.313658,0.0122,-0.0112,0.9452,0.95
6.331395,0.0354,-0.0034,0.9565,0.96
6.347564,0.0445,-0.0098,0.9748,0.98
6.372903,0.0213,-0.0264,1.0053,1.01
6.397063,0.0296,-0.0359,0.9899,0.99
6.414045,0.033,-0.0401,0.986,0.99
6.431641,0.0225,-0.0481,0.9921,0.99
6.472832,0.0064,-0.0274,0.9946,0.99
6.473212,0.0064,-0.0274,0.9946,0.99
6.488999,0.0193,-0.0188,0.9765,0.98
6.514945,0.023,-0.0298,0.9638,0.96
6.531755,0.0247,-0.023,0.9804,0.98
6.556053,-0.0076,-0.0154,0.9975,1
6.573039,-0.0068,-0.0232,0.9694,0.97
6.598146,0.0017,-0.0291,0.9806,0.98
6.615182,-0.02,-0.0281,0.9689,0.97
6.631964,-0.0191,-0.0259,0.9819,0.98
6.656613,0.0098,-0.0337,1.0046,1.01
6.67515,0.0068,-0.0291,0.9975,1
6.698706,0.0342,-0.0203,0.9902,0.99
6.716254,-0.031,-0.0381,0.9809,0.98
6.732124,-0.0413,-0.0198,0.9931,0.99
6.757626,-0.0064,-0.0283,0.9806,0.98
6.780578,-0.011,-0.0313,0.9743,0.97
6.794539,-0.0129,-0.0354,0.9858,0.99
6.815208,0.0086,-0.0384,0.999,1
6.856773,0.0024,-0.0391,0.9743,0.98
6.857184,0.0024,-0.0391,0.9743,0.98
6.877868,0.0005,-0.0391,0.9787,0.98
6.899518,0.0034,-0.0335,1.0031,1
6.915929,0.0051,-0.0315,0.9933,0.99
6.949597,0.0046,-0.0352,0.989,0.99
6.974003,0.0088,-0.032,0.9992,1
6.9928,0.0017,-0.0315,0.986,0.99
7.004354,-0.0046,-0.0279,0.9816,0.98
7.017008,-0.0042,-0.0257,0.9772,0.98
7.056929,-0.0015,-0.0261,0.9863,0.99
7.05734,-0.0015,-0.0261,0.9863,0.99
7.08323,-0.0095,-0.0342,0.9848,0.99
7.099774,-0.0193,-0.0388,0.9814,0.98
7.117322,-0.0142,-0.0366,0.9892,0.99
7.157318,-0.0083,-0.0388,0.9848,0.99
7.15772,-0.0083,-0.0388,0.9848,0.99
7.179475,-0.0015,-0.0337,0.9902,0.99
7.20037,-0.0005,-0.0347,0.9814,0.98
7.217604,0,-0.0335,0.998,1
7.257218,0.0054,-0.0271,0.9682,0.97
7.275048,-0.0005,-0.0271,0.9902,0.99
7.28771,-0.0017,-0.0242,1.0051,1.01
7.300738,0.001,-0.0213,0.9948,1
7.317417,0,-0.0173,0.9811,0.98
7.354431,-0.0042,-0.0169,0.9885,0.99
7.368559,0.002,-0.0166,0.9863,0.99
7.384039,0.0073,-0.0198,0.986,0.99
7.400924,0.0105,-0.0235,0.9848,0.99
7.418187,0.0098,-0.0269,0.9843,0.98
7.451896,-0.0027,-0.0293,0.9894,0.99
7.476478,-0.0054,-0.031,0.9824,0.98
7.493546,-0.0061,-0.0271,0.997,1
7.504437,-0.0027,-0.0227,0.9809,0.98
7.535645,0.0076,-0.0254,0.9992,1
7.552233,0.0127,-0.0244,0.9973,1
7.575297,0.002,-0.0188,0.9826,0.98
7.595056,0.0007,-0.0154,0.9882,0.99
7.604569,-0.0017,-0.0171,0.9933,0.99
7.635783,0.0034,-0.02,0.9887,0.99
7.660511,0.0086,-0.0213,0.9846,0.98
7.681622,0.0032,-0.021,0.9841,0.98
7.692767,0,-0.0222,0.9836,0.98
7.71936,-0.0007,-0.0261,0.9892,0.99
7.735719,0.0027,-0.0288,0.985,0.99
7.760823,0.0002,-0.0261,0.9882,0.99
7.782384,-0.0012,-0.0237,0.9882,0.99
7.793196,-0.0012,-0.0205,0.9904,0.99
7.818856,-0.0015,-0.0215,0.9848,0.99
7.836414,-0.0061,-0.022,0.9714,0.97
7.859041,0.0059,-0.0261,0.9931,0.99
7.877049,0.0073,-0.0252,0.9877,0.99
7.903187,0.0039,-0.0279,0.9868,0.99
7.919891,0.0078,-0.0215,1.0065,1.01
7.936366,0.0002,-0.02,0.9848,0.99
7.961019,-0.0078,-0.0156,0.9831,0.98
7.978407,-0.0024,-0.0142,0.9955,1
8.003323,0.0029,-0.0171,0.9907,0.99
8.020474,0.0029,-0.0227,0.9816,0.98
8.037945,0.0051,-0.0257,0.9814,0.98
8.053446,0.0061,-0.0281,0.986,0.99
8.077994,-0.0017,-0.0296,0.9904,0.99
8.094466,-0.0046,-0.0242,0.9899,0.99
8.120863,-0.001,-0.0225,0.9951,1
8.137692,0.0015,-0.0188,0.9828,0.98
8.153948,-0.0012,-0.0225,0.9711,0.97
8.177647,0.0049,-0.0198,1.0039,1
8.197079,0.002,-0.0193,0.9836,0.98
8.221707,-0.0017,-0.0186,0.986,0.99
8.237565,0.0002,-0.0166,0.9933,0.99
8.260329,0.0007,-0.0156,0.9907,0.99
8.276866,0.0029,-0.0195,0.9846,0.98
8.303861,0.0051,-0.0222,0.9877,0.99
8.320949,0,-0.0237,0.9848,0.99
8.338584,-0.0029,-0.0242,0.9868,0.99
8.361978,-0.0005,-0.0261,0.988,0.99
8.379467,-0.0005,-0.0276,0.985,0.99
8.404886,0.0002,-0.0252,0.9907,0.99
8.421954,0.0007,-0.0213,0.9872,0.99
8.438522,-0.0046,-0.0208,0.9904,0.99
8.462708,-0.0039,-0.0183,0.988,0.99
8.475247,-0.0032,-0.0178,0.9892,0.99
8.505044,-0.0032,-0.023,0.9806,0.98
8.521893,0.0061,-0.0232,0.9963,1
8.539511,0.0056,-0.0266,0.9902,0.99
8.555972,0.0012,-0.0261,0.9758,0.98
8.579502,0.0039,-0.0239,1.0058,1.01
8.602933,0.0039,-0.0198,0.9853,0.99
8.623119,-0.0037,-0.0147,0.9797,0.98
8.639136,-0.0024,-0.0142,0.9946,0.99
8.662739,-0.0049,-0.0176,0.9885,0.99
8.683099,0.0002,-0.0195,0.9828,0.98
8.705522,0.0081,-0.0257,0.9885,0.99
