time,gFx,gFy,gFz,TgF
0.0033,-0.0699,0.9736,0.2209,1
0.012799,-0.0508,0.9697,0.2155,0.99
0.038855,-0.0398,0.974,0.1998,1
0.060736,-0.0335,0.9802,0.2038,1
0.077471,-0.0511,0.9868,0.202,1.01
0.094035,-0.0252,0.9782,0.2155,1
0.121036,-0.0269,0.9804,0.2201,1.01
0.127282,-0.0242,0.9897,0.213,1.01
0.160793,-0.0305,0.9877,0.2162,1.01
0.177474,-0.0142,0.9745,0.2165,1
0.194914,-0.0249,0.967,0.2318,0.99
0.211551,-0.0423,0.9662,0.2047,0.99
0.24025,-0.0315,0.9904,0.2194,1.01
0.2615,-0.0073,0.9799,0.2125,1
0.278182,-0.0139,0.9772,0.2206,1
0.295214,-0.0398,0.974,0.2216,1
0.311523,-0.0474,0.9755,0.2116,1
0.340188,-0.0151,0.9618,0.2125,0.99
0.36168,-0.0213,0.9767,0.2191,1
0.378345,-0.0193,0.9897,0.2296,1.02
0.395478,-0.0264,0.9902,0.2077,1.01
0.418615,-0.0151,0.9926,0.2108,1.01
0.445402,-0.0151,0.9743,0.2003,0.99
0.462588,-0.0213,0.999,0.1976,1.02
0.478943,-0.0335,0.9848,0.215,1.01
0.49571,-0.0286,0.9853,0.2116,1.01
0.518879,-0.0103,0.9667,0.2086,0.99
0.532344,-0.0093,0.9679,0.2052,0.99
0.563032,-0.0059,0.9704,0.2243,1
0.579646,-0.044,0.9753,0.2116,1
0.596122,-0.0467,0.9955,0.2448,1.03
0.620826,-0.012,0.9875,0.2172,1.01
0.634542,-0.0147,0.9968,0.203,1.02
0.662522,-0.0103,0.9782,0.1847,1
0.679022,-0.0034,0.9423,0.2018,0.96
0.696929,0.0071,0.9394,0.227,0.97
0.713005,0.0107,0.9616,0.2316,0.99
0.738256,0.0335,0.9806,0.2463,1.01
0.762647,-0.01,1.0188,0.2402,1.05
0.779771,-0.053,1.0053,0.1994,1.03
0.797361,-0.0674,0.985,0.2016,1.01
0.836684,-0.0586,0.9689,0.151,0.98
0.837084,-0.0586,0.9689,0.151,0.98
0.863299,-0.0606,0.9838,0.1615,1
0.881391,-0.0559,0.9938,0.1444,1.01
0.897543,-0.0572,1.01,0.1603,1.02
0.938637,-0.0523,0.9977,0.1439,1.01
0.938941,-0.0523,0.9977,0.1439,1.01
0.963747,-0.0332,0.9841,0.1305,0.99
0.981196,-0.0347,0.9863,0.1329,1
0.997911,-0.0428,0.986,0.1424,1
1.021699,-0.0425,0.9824,0.1415,0.99
1.04723,-0.0327,0.976,0.1385,0.99
1.063942,-0.0315,0.9716,0.1361,0.98
1.081251,-0.0252,0.9921,0.1488,1
1.098517,-0.0313,0.9943,0.1505,1.01
1.136664,-0.0217,0.9963,0.1776,1.01
1.154196,-0.0269,1.0021,0.1671,1.02
1.164682,-0.076,0.9936,0.1673,1.01
1.180994,-0.0796,0.9899,0.163,1.01
1.222886,-0.0315,0.9824,0.1632,1
1.223236,-0.0315,0.9824,0.1632,1
1.248098,-0.0489,1.0021,0.1163,1.01
1.264916,-0.0992,1.0021,0.1192,1.01
1.281543,-0.0967,1.0105,0.141,1.02
1.315689,-0.0376,1.0183,0.1246,1.03
1.33915,-0.0166,1.0217,0.1229,1.03
1.351689,-0.0347,1.0339,0.1053,1.04
1.365212,-0.0322,1.0046,0.1195,1.01
