time,gFx,gFy,gFz,TgF
0.430474,-0.0684,0.9792,0.1864,1
0.460631,0.0012,0.9555,0.2465,0.99
0.478169,-0.0515,0.9433,0.2228,0.97
0.494937,-0.085,0.9521,0.2025,0.98
0.511103,-0.0999,0.9484,0.1994,0.97
0.530568,-0.1278,1.0332,0.1158,1.05
0.561372,0.1881,1.0542,0.1478,1.08
0.578505,0.1104,1.0427,0.0782,1.05
0.59482,0.0291,1.05,0.0569,1.05
0.611751,-0.1126,1.0236,0.1151,1.04
0.632141,-0.2665,0.9584,0.1825,1.01
0.652479,-0.2494,0.966,0.1295,1.01
0.67875,-0.0904,0.985,0.1141,1
0.695306,-0.0371,0.9552,0.1439,0.97
0.712389,-0.0586,0.9171,0.1156,0.93
0.748863,-0.119,0.9897,0.1124,1
0.769899,-0.1173,1.0317,0.1647,1.05
0.779318,-0.1361,1.0471,0.1827,1.07
0.795318,-0.269,1.1509,0.2472,1.21
0.813144,-0.2111,1.0349,0.1527,1.07
0.875444,-0.1031,1.0046,0.1761,1.03
0.87611,-0.1058,1.0031,0.1803,1.02
0.876333,-0.1058,1.0031,0.1803,1.02
0.896246,-0.1168,0.9726,0.1876,1
0.929061,-0.0901,0.9777,0.1688,1
0.948814,-0.0515,0.9841,0.182,1
0.971248,-0.0789,0.9848,0.1468,1
0.979517,-0.0884,0.9907,0.1488,1.01
0.996543,-0.0963,0.9936,0.1681,1.01
1.033144,-0.0716,0.9941,0.118,1
1.051123,-0.0396,1.0009,0.1285,1.01
1.062874,-0.0318,0.9953,0.1449,1.01
1.07964,-0.044,0.996,0.1559,1.01
1.097232,-0.0586,0.9965,0.1534,1.01
1.13053,-0.0821,0.9931,0.1285,1
1.152551,-0.0787,1.0119,0.1757,1.03
1.163473,-0.0933,1.008,0.1708,1.03
1.180441,-0.0875,1.0097,0.1327,1.02
1.197234,-0.0689,0.9885,0.1119,1
1.230684,-0.0388,0.966,0.2108,0.99
1.250581,-0.0691,0.9926,0.1649,1.01
1.269106,-0.0855,1.0053,0.088,1.01
1.280756,-0.1048,1.0078,0.1129,1.02
1.297553,-0.0618,0.9992,0.1593,1.01
1.330841,-0.0567,0.974,0.1461,0.99
1.351145,-0.1092,0.9694,0.0931,0.98
1.370696,-0.1014,0.9973,0.0794,1.01
