time,gFx,gFy,gFz,TgF
0.005018,-0.0833,0.9794,0.2121,1.01
0.018044,-0.0887,0.9919,0.1771,1.01
0.050664,-0.0921,0.9868,0.1524,1
0.050939,-0.0921,0.9868,0.1524,1
0.077045,-0.0972,0.9679,0.1605,0.99
0.093403,-0.0933,0.9885,0.1757,1.01
0.11358,-0.0398,0.9938,0.0801,1
0.143455,-0.023,1.0014,0.1801,1.02
0.160464,-0.001,0.9838,0.2257,1.01
0.177452,0.0032,0.9821,0.1832,1
0.194692,-0.0447,0.9919,0.1371,1
0.211061,-0.001,1.0447,0.1246,1.05
0.243416,-0.0555,0.9933,0.1876,1.01
0.261017,-0.1119,0.9728,0.1908,1
0.27756,-0.1136,0.964,0.149,0.98
0.294641,-0.0662,0.9855,0.1371,1
0.330546,-0.0542,0.9982,0.1539,1.01
0.345,-0.0726,0.9941,0.1571,1.01
0.361065,-0.0787,0.9902,0.1498,1
0.377617,-0.0816,0.9863,0.1568,1
0.394917,-0.0691,0.9912,0.1695,1.01
0.431082,-0.0537,0.9916,0.1739,1.01
0.445198,-0.0474,0.9892,0.1842,1.01
0.461352,-0.0386,0.9975,0.192,1.02
0.478223,-0.03,1.0024,0.1888,1.02
0.495433,-0.0335,1.0002,0.1766,1.02
0.53193,-0.0195,0.9868,0.1776,1
0.54467,-0.0132,0.9872,0.1801,1
0.56148,-0.0193,0.9872,0.1813,1
0.57968,-0.0337,0.9846,0.1761,1
0.595883,-0.0493,0.9826,0.1725,1
0.618322,-0.0511,0.9677,0.1744,0.98
0.645332,-0.0198,0.9894,0.2013,1.01
0.662981,-0.032,0.989,0.2213,1.01
0.679291,-0.0999,0.9948,0.1891,1.02
0.718238,-0.0567,0.9816,0.237,1.01
0.71957,-0.0591,0.9789,0.2433,1.01
0.745635,-0.0682,0.9535,0.2162,0.98
0.763713,-0.0858,0.9824,0.2135,1.01
0.779699,-0.0794,0.9924,0.1947,1.01
0.813899,-0.1053,0.9919,0.1708,1.01
0.832233,-0.1163,0.9892,0.1713,1.01
0.847008,-0.1041,0.9958,0.1581,1.01
0.862833,-0.1055,0.9948,0.1419,1.01
0.879306,-0.0982,0.9797,0.1295,0.99
0.913004,-0.0533,0.9584,0.1424,0.97
0.935389,-0.0283,0.9748,0.1539,0.99
0.951949,-0.0523,0.9797,0.1608,0.99
0.962912,-0.0476,0.9958,0.1769,1.01
0.980775,-0.0406,0.9968,0.1727,1.01
1.014566,-0.0305,0.9731,0.202,0.99
1.036859,-0.0313,0.9628,0.1888,0.98
1.050574,-0.0269,0.9599,0.1864,0.98
1.064189,-0.0164,0.9557,0.1871,0.97
1.081629,-0.0061,0.9714,0.2299,1
1.118848,-0.0283,1.029,0.1952,1.05
1.134173,-0.0481,1.0334,0.1747,1.05
1.147722,-0.0555,1.0385,0.1656,1.05
1.165077,-0.0665,1.0158,0.1583,1.03
1.181832,-0.0801,0.9946,0.1608,1.01
1.220856,-0.0733,0.9523,0.1246,0.96
1.232172,-0.0647,0.9513,0.1051,0.96
1.247975,-0.077,0.9728,0.0882,0.98
1.266251,-0.077,1.0083,0.086,1.01
1.282791,-0.0601,1.0141,0.1046,1.02
1.315855,-0.0577,1.0097,0.1312,1.02
1.337171,-0.0665,0.9863,0.1402,1
1.348252,-0.063,0.9828,0.1295,0.99
