time,gFx,gFy,gFz,TgF
1.057081,-0.0904,0.9936,0.1737,1.01
1.073436,-0.1021,0.9846,0.1309,1
1.093214,-0.1014,0.9855,0.1847,1.01
1.107064,-0.1041,0.985,0.1652,1
1.123836,-0.0919,0.989,0.1524,1
1.156182,-0.0577,0.9853,0.1972,1.01
1.175347,-0.045,0.9728,0.1727,0.99
1.189993,-0.0357,0.9679,0.1637,0.98
1.208201,-0.0276,0.9628,0.1815,0.98
1.223705,-0.0132,0.9653,0.1818,0.98
1.257145,-0.0107,0.9828,0.1717,1
1.274358,-0.0164,0.9836,0.1871,1
1.290494,-0.032,0.9797,0.2111,1
1.310621,-0.0173,0.9709,0.2072,0.99
1.32401,-0.0095,0.966,0.2103,0.99
1.358056,-0.0088,0.975,0.2541,1.01
1.374835,-0.012,0.9804,0.2375,1.01
1.393933,-0.0032,0.9887,0.27,1.02
1.408231,0.0156,0.9919,0.2858,1.03
1.424513,0.0388,0.9716,0.2575,1.01
1.458393,0.0347,0.9154,0.2406,0.95
1.474688,0.0296,0.9012,0.2878,0.95
1.494257,0.0095,0.9076,0.2582,0.94
1.508468,0.0049,0.9328,0.2954,0.98
1.52499,0.0081,0.9692,0.2426,1
1.558473,0.0235,1.0285,0.1981,1.05
1.574934,-0.0464,1.0029,0.2248,1.03
1.595287,-0.1241,0.9582,0.1976,0.99
1.608401,-0.1385,0.9635,0.1964,0.99
1.642339,-0.0308,1.0263,0.2981,1.07
1.658484,-0.012,1.0388,0.2949,1.08
1.675816,-0.0371,1.0092,0.2617,1.04
1.695636,-0.1241,0.9587,0.2392,1
1.708918,-0.1588,0.9543,0.2526,1
1.742771,-0.0897,0.9633,0.2182,0.99
1.759205,-0.0787,0.9494,0.2294,0.98
1.776338,-0.0774,0.9398,0.2047,0.96
1.795765,-0.0694,0.954,0.2326,0.98
1.80964,-0.0862,0.9618,0.245,1
1.827662,-0.1197,0.9677,0.1962,0.99
1.859711,-0.1358,0.9726,0.2243,1.01
1.876681,-0.0972,0.9584,0.258,1
1.896476,-0.0674,0.9599,0.2558,1
1.91004,-0.0755,0.9709,0.2475,1
1.942885,-0.1019,1.021,0.2577,1.06
1.960078,-0.1185,1.0261,0.2678,1.07
1.976432,-0.13,1.0112,0.2504,1.05
1.996427,-0.1116,1.0041,0.238,1.04
2.00948,-0.1112,1.0134,0.2184,1.04
2.04374,-0.1373,1.0698,0.2526,1.11
2.060416,-0.1214,1.0991,0.2482,1.13
2.076926,-0.0909,1.1194,0.2287,1.15
2.09688,-0.1202,1.1167,0.205,1.14
2.110477,-0.1297,1.1189,0.1967,1.14
2.144121,-0.0359,1.1697,0.1637,1.18
2.160407,0.0489,1.1497,0.118,1.16
2.177836,0.1287,1.0874,0.0535,1.1
2.197586,0.0599,0.9609,0.0366,0.96
2.2106,0.0364,0.892,0.0486,0.89
2.244343,0.0557,0.7981,0.0577,0.8
2.260758,0.0628,0.8641,0.1041,0.87
2.278164,0.0599,0.9758,0.1666,0.99
2.29733,0.0689,1.0776,0.1757,1.09
2.328221,0.0352,1.0679,0.1055,1.07
2.344345,0.0032,0.9767,0.0845,0.98
2.361255,-0.0305,0.8893,0.1053,0.9
2.378543,-0.0271,0.8402,0.1129,0.85
2.397816,-0.0034,0.8353,0.085,0.84
2.428182,0.0183,0.8328,0.1683,0.85
2.444887,0.0161,0.8311,0.1637,0.85
2.462055,0.0181,0.8631,0.1923,0.88
2.478502,0.0142,0.912,0.2336,0.94
2.497953,0.031,0.9687,0.2282,1
2.528263,0.0357,0.9902,0.1903,1.01
2.54562,0.0134,0.9882,0.1859,1.01
2.5625,-0.0247,0.9828,0.1925,1
2.578688,-0.0325,0.9858,0.1947,1.01
2.598996,-0.0169,0.9821,0.17,1
2.628764,-0.0059,0.9821,0.1671,1
2.645881,-0.0213,0.9775,0.1818,0.99
2.665604,-0.0049,0.9963,0.1991,1.02
2.679425,0.0027,1.0398,0.1847,1.06
2.699237,0.0107,1.1412,0.1786,1.16
2.729382,0.0459,1.3051,0.1564,1.32
2.746401,-0.0017,1.3312,0.1786,1.34
2.762601,-0.0772,1.3012,0.1888,1.32
2.779956,-0.0621,1.2201,0.1625,1.23
2.799267,0.009,1.1365,0.065,1.14
2.829402,0.0208,0.9865,0.0564,0.99
2.846137,-0.0213,0.889,0.0491,0.89
2.863928,-0.0611,0.7654,0.0457,0.77
2.879583,-0.1094,0.688,0.021,0.7
2.89767,-0.1322,0.7209,0.0349,0.73
2.930128,-0.0628,0.9968,0.1771,1.01
2.947362,-0.0603,1.1172,0.1417,1.13
2.963536,-0.0667,1.1722,0.0938,1.18
2.980227,-0.0967,1.1331,0.0564,1.14
3.000066,-0.1434,1.0014,0.0735,1.01
3.030194,-0.129,0.8673,0.1371,0.89
3.047242,-0.107,0.8663,0.2277,0.9
3.064215,-0.0875,0.8832,0.2167,0.91
3.080694,-0.0765,0.903,0.1678,0.92
3.101048,-0.0928,0.9066,0.192,0.93
3.130544,-0.0838,0.9017,0.2419,0.94
3.147848,-0.0931,0.9074,0.2419,0.94
3.164165,-0.0716,0.9113,0.2314,0.94
3.181364,-0.0611,0.9166,0.2101,0.94
3.200831,-0.0694,0.9342,0.216,0.96
3.231117,-0.088,0.9504,0.2182,0.98
3.248091,-0.0821,0.9743,0.2348,1.01
3.264637,-0.0809,0.9858,0.2406,1.02
3.281955,-0.0848,0.9987,0.1991,1.02
3.301417,-0.106,1.0192,0.2179,1.05
3.332935,-0.0743,1.0874,0.2318,1.11
3.347678,-0.0733,1.1236,0.2507,1.15
3.364801,-0.0855,1.1343,0.2717,1.17
3.38204,-0.0821,1.1287,0.3139,1.17
3.415304,-0.1156,1.1619,0.2123,1.19
3.431599,-0.0804,1.2594,0.2231,1.28
3.448406,0.063,1.3117,0.1231,1.32
3.465777,0.1104,1.2428,0.0608,1.25
3.482147,0.0156,1.0801,0.074,1.08
3.515486,-0.0279,0.7725,-0.0183,0.77
3.531967,-0.0242,0.7048,0.0384,0.71
3.548776,0.0244,0.7544,0.1263,0.77
3.566065,0.1009,0.8868,0.2257,0.92
3.601899,-0.0125,1.0894,0.116,1.1
3.616204,-0.0603,1.1065,0.0801,1.11
3.63233,-0.0589,1.0671,0.0633,1.07
3.64959,-0.041,0.9511,0.0501,0.95
3.665962,-0.0491,0.8604,0.0667,0.86
3.686051,-0.0147,0.8248,0.149,0.84
3.715875,0.0144,0.8209,0.1483,0.83
3.732819,0.0344,0.8426,0.1573,0.86
3.749947,0.0513,0.8815,0.1634,0.9
3.76633,0.0254,0.9025,0.1669,0.92
3.786451,-0.0024,0.9381,0.1957,0.96
3.81618,0.0249,0.9645,0.2052,0.99
3.833655,0.0533,0.9692,0.1776,0.99
3.849954,0.0349,0.9699,0.1715,0.99
3.866796,0.0034,0.9736,0.1786,0.99
3.88673,-0.0161,0.9875,0.1801,1
3.916408,-0.0325,1.0087,0.2035,1.03
3.934345,-0.0269,1.042,0.192,1.06
3.950504,0.0027,1.1092,0.1691,1.12
3.967473,0.0364,1.1746,0.203,1.19
4.003277,-0.0286,1.1201,0.2402,1.15
4.017395,-0.0618,1.0671,0.2722,1.1
4.034017,-0.0774,1.0552,0.2304,1.08
4.050476,-0.0745,1.0977,0.236,1.13
4.067852,0.0134,1.1697,0.0762,1.17
4.103913,-0.0007,1.1675,0.0547,1.17
4.117852,-0.0078,1.0703,0.0938,1.07
4.134207,-0.0743,0.9012,0.0997,0.91
4.167624,-0.2807,0.643,0.0718,0.71
4.184442,-0.1994,0.717,0.1251,0.75
4.204693,-0.0156,0.9296,0.245,0.96
4.218544,0.0628,1.0554,0.2182,1.08
4.234619,0.0772,1.1758,0.1324,1.19
4.267825,-0.1417,1.0605,-0.001,1.07
4.285174,-0.1537,0.9264,0.0452,0.94
4.304941,-0.1082,0.8714,0.2375,0.91
4.318228,-0.0748,0.8753,0.2487,0.91
4.33553,-0.0584,0.9037,0.193,0.93
4.369378,-0.1029,0.9078,0.1788,0.93
4.386051,-0.1283,0.8866,0.1984,0.92
4.405196,-0.1473,0.8788,0.2543,0.93
4.419116,-0.1263,0.8932,0.2485,0.94
4.435729,-0.0987,0.9105,0.236,0.95
4.469155,-0.0777,0.9144,0.2267,0.95
4.486053,-0.0955,0.9176,0.227,0.95
4.505976,-0.1285,0.9508,0.2292,0.99
4.519488,-0.1285,0.987,0.2228,1.02
4.536537,-0.109,1.0322,0.2301,1.06
4.570206,-0.0809,1.1316,0.245,1.16
4.58535,-0.0647,1.1741,0.2697,1.21
4.604817,-0.0435,1.1883,0.2509,1.22
4.619295,-0.0647,1.1829,0.216,1.2
4.636251,-0.0987,1.1988,0.2211,1.22
4.669371,0.0303,1.2804,0.2546,1.31
4.68655,0.1165,1.1827,0.0623,1.19
4.706838,-0.0562,0.9577,0.034,0.96
4.720397,-0.0623,0.8646,0.0865,0.87
4.753692,0.0107,0.7317,0.0638,0.73
4.769672,0.0239,0.8411,0.1857,0.86
4.787343,0.0386,0.9946,0.2433,1.02
4.807132,0.0181,1.1165,0.1439,1.13
4.820079,-0.0222,1.1507,0.1094,1.16
4.85349,-0.0591,0.978,0.076,0.98
4.870198,-0.0743,0.8487,0.0772,0.86
4.887507,-0.0816,0.7512,0.117,0.76
4.906775,-0.0296,0.7674,0.1461,0.78
4.920307,-0.0139,0.7913,0.1253,0.8
4.953807,0.0046,0.8873,0.1649,0.9
4.97136,-0.0164,0.9149,0.1583,0.93
4.98788,-0.0259,0.9337,0.2062,0.96
5.006841,0.0046,0.9526,0.2174,0.98
5.021111,0.0249,0.9557,0.2162,0.98
5.054099,-0.0222,0.9257,0.1967,0.95
5.07124,-0.0156,0.9418,0.2135,0.97
5.087622,-0.0139,0.9447,0.195,0.96
5.107766,-0.0183,0.9464,0.1786,0.96
5.12144,-0.0259,0.9447,0.1739,0.96
5.154984,-0.0484,1.0085,0.184,1.03
5.171718,-0.0269,1.0999,0.2318,1.12
5.187934,0.0413,1.1959,0.1994,1.21
5.207884,0.0625,1.2745,0.2125,1.29
5.221775,-0.0144,1.2704,0.2157,1.29
5.255127,-0.1505,1.2692,0.268,1.31
5.271502,-0.0528,1.265,0.2492,1.29
5.288752,-0.032,1.1707,0.0923,1.17
5.308851,-0.0508,1.0874,-0.0049,1.09
5.322068,-0.0567,1.0334,-0.0447,1.04
5.355546,-0.1669,0.814,0.14,0.84
5.371954,-0.2761,0.7187,0.0858,0.77
5.389307,-0.2533,0.7825,0.0716,0.83
5.408372,-0.118,0.9452,0.1725,0.97
5.422914,-0.0291,1.0693,0.1524,1.08
5.455399,-0.1185,1.1155,0.054,1.12
5.472221,-0.1832,0.996,0.0733,1.02
5.489513,-0.1578,0.8514,0.1051,0.87
5.509735,-0.1053,0.7554,0.14,0.78
5.523828,-0.0804,0.7405,0.1527,0.76
5.556027,-0.0704,0.8243,0.1854,0.85
5.573222,-0.0843,0.8778,0.1996,0.9
5.589537,-0.1119,0.9181,0.173,0.94
5.609485,-0.1537,0.9367,0.2226,0.97
5.639329,-0.1229,0.9298,0.2431,0.97
5.656841,-0.0928,0.935,0.2365,0.97
5.673756,-0.095,0.9301,0.2213,0.96
5.690112,-0.1163,0.9369,0.2157,0.97
5.709972,-0.1439,0.9533,0.226,0.99
5.739752,-0.0836,0.9887,0.2191,1.02
5.757018,-0.0865,1.0327,0.2389,1.06
5.773484,-0.1224,1.0654,0.226,1.1
