time,gFx,gFy,gFz,TgF
2.826724,-0.0894,0.9635,-0.3286,1.02
2.850328,-0.0464,1.2433,-0.3801,1.3
2.856084,-0.0322,1.3305,-0.1737,1.34
2.887027,0.0706,1.5887,0.4964,1.67
2.90364,-0.0474,1.6566,0.1774,1.67
2.924526,-0.0911,1.234,0.234,1.26
2.949309,0.0708,0.8954,0.1884,0.92
2.959565,0.107,0.6931,0.1466,0.72
2.987832,-0.0086,0.5712,0.0186,0.57
3.00636,-0.171,0.6626,-0.0303,0.68
3.02272,-0.2001,0.6782,0.0088,0.71
3.048407,-0.0506,0.6369,-0.0621,0.64
3.069792,-0.0129,0.6254,-0.1019,0.63
3.088146,0.0112,0.6161,-0.1129,0.63
3.10669,0.0513,0.6909,-0.0454,0.69
3.121427,0.0508,0.7764,0.0909,0.78
3.142705,0.0186,0.8128,0.1984,0.84
3.164109,0.011,0.825,0.0012,0.83
3.189304,-0.0244,0.8695,0.0943,0.87
3.205632,-0.075,0.9653,0.1808,0.98
3.226469,-0.1407,1.0994,0.1163,1.11
3.249857,-0.0286,1.1802,0.0418,1.18
3.273388,0.1153,1.2423,0.0095,1.25
3.289196,0.1048,1.4009,-0.0322,1.41
3.307211,0.0125,1.4727,-0.0667,1.47
3.324501,0.0628,1.4607,-0.0354,1.46
3.343425,0.1561,1.3972,-0.2206,1.42
3.367296,0.3279,1.329,0.0469,1.37
3.388822,0.2849,1.3131,0.1571,1.35
3.405653,0.1361,1.3004,0.0914,1.31
3.428229,0.0437,1.2704,0.1449,1.28
3.451482,0.0987,1.2252,0.129,1.24
3.473333,0.1554,1.0588,0.1178,1.08
3.489956,0.1412,0.945,0.0594,0.96
3.50741,0.119,0.8531,0.0432,0.86
3.527489,0.0889,0.8047,0.0164,0.81
3.556434,0.0454,0.7317,0.0017,0.73
3.572903,0.0581,0.6985,0.0259,0.7
3.589844,0.1229,0.663,-0.0696,0.68
3.60634,0.1434,0.7329,-0.1317,0.76
3.644529,0.1564,0.785,0.1063,0.81
3.656796,0.1226,0.7525,0.1478,0.78
3.673047,0.1031,0.7029,0.0867,0.72
3.690574,0.0875,0.6069,0.0007,0.61
3.725168,0.0997,0.5648,-0.0217,0.57
3.744936,0.1178,0.7168,0.1016,0.73
3.771659,0.1556,0.9318,0.0801,0.95
3.784394,0.1598,1.0085,0.0581,1.02
3.793818,0.1368,1.0749,0.0428,1.08
3.829302,0.1148,1.3344,0.0447,1.34
3.8499,0.2915,1.3972,0.0899,1.43
3.857369,0.353,1.4219,0.0911,1.47
3.874532,0.248,1.4368,0.1187,1.46
3.909303,-0.1295,1.3647,0.2013,1.39
3.925733,-0.0706,1.1089,-0.0076,1.11
3.946465,0.0467,1.0451,-0.2382,1.07
3.968935,0.1317,1.2276,0.0811,1.24
3.981992,0.0985,1.3774,0.2849,1.41
4.009852,-0.0689,1.4597,0.0542,1.46
4.026412,-0.2174,1.5218,0.1603,1.55
4.047312,0.0601,1.1639,0.1979,1.18
4.068082,0.1393,0.9164,0.1385,0.94
4.075526,0.151,0.8451,0.1116,0.87
4.109133,0.1146,0.7168,0.0391,0.73
4.128657,0.0154,0.7649,0.0511,0.77
4.149923,-0.002,0.7788,0.0125,0.78
4.157962,0,0.762,-0.0129,0.76
4.192706,0.0093,0.6633,-0.0975,0.67
4.210489,0.0078,0.6716,0.0115,0.67
4.226806,0.0156,0.6506,0.1112,0.66
4.24678,0.0484,0.6157,0.0809,0.62
4.268983,0.0755,0.6423,-0.0252,0.65
4.282831,0.0811,0.6797,0.0413,0.69
4.309336,0.0274,0.8424,0.225,0.87
4.331283,-0.0173,0.911,0.0687,0.91
4.354802,-0.064,0.9601,0.0892,0.97
4.359595,-0.0608,0.9748,0.0933,0.98
4.39302,0.1097,1.1302,0.1305,1.14
4.412462,0.2328,1.2159,0.0173,1.24
4.431709,0.2209,1.2958,0.0628,1.32
4.444874,0.162,1.4851,0.0095,1.49
4.461951,0.1226,1.6542,0.066,1.66
4.492664,0.0904,1.3693,-0.0117,1.37
4.510432,0.14,1.0686,-0.1532,1.09
4.527255,0.3335,0.8837,0.0606,0.95
4.548683,0.206,1.2259,-0.0051,1.24
4.577142,0.1053,1.5873,0.1564,1.6
4.593889,0.2331,1.4614,0.2656,1.5
4.610359,0.2651,1.2218,0.1344,1.26
4.62995,0.2358,0.9196,0.0821,0.95
4.647299,0.1847,0.7007,0.0728,0.73
4.677272,-0.0276,0.6586,-0.0071,0.66
4.694573,-0.1143,0.6994,-0.0643,0.71
4.712278,-0.0833,0.7366,-0.0239,0.74
4.732031,0.0274,0.7427,0.0279,0.74
4.751235,0.1226,0.6748,-0.0374,0.69
4.778329,0.2106,0.6049,-0.1031,0.65
4.797192,0.225,0.6174,0.0562,0.66
4.811689,0.1783,0.6582,0.1468,0.7
