time,gFx,gFy,gFz,TgF
0.012504,-0.0337,1.0043,0.0733,1.01
0.029587,-0.0396,1.0009,0.0716,1
0.043933,-0.0418,1.0041,0.0638,1.01
0.060495,-0.0489,0.998,0.054,1
0.079915,-0.0464,0.9912,0.0586,0.99
0.11054,-0.0493,1.0085,0.0217,1.01
0.12754,-0.0342,1.028,0.0015,1.03
0.144088,-0.0303,1.0288,0.0203,1.03
0.161116,-0.0293,1.0175,0.0555,1.02
0.197317,-0.0562,0.9982,0.0437,1
0.210865,-0.0574,0.9904,0.0315,0.99
0.227846,-0.0503,0.988,0.0274,0.99
0.244231,-0.0457,0.9936,0.041,1
0.261572,-0.0315,1.0021,0.041,1
0.297696,-0.0281,1.0092,0.0508,1.01
0.311071,-0.0315,1.0058,0.0643,1.01
0.327891,-0.0384,1.0039,0.076,1.01
0.344609,-0.0418,1.0019,0.0704,1.01
0.377896,-0.0322,1.0139,0.0418,1.02
0.39841,-0.0293,1.018,0.03,1.02
0.413182,-0.0327,1.0131,0.0281,1.01
0.427436,-0.0325,1.0144,0.0288,1.02
0.445207,-0.0112,1.0356,0.0645,1.04
0.478568,-0.0415,1.0014,0.0279,1
0.497829,-0.03,0.9968,0.0906,1
0.518526,-0.0261,0.9765,0.0718,0.98
0.528349,-0.0337,0.9645,0.0601,0.97
0.546191,-0.0325,0.9704,0.0508,0.97
0.565584,-0.0225,1.0039,0.0718,1.01
0.598539,-0.0308,1.0139,0.0665,1.02
0.613278,-0.0286,1.0114,0.0579,1.01
0.629045,-0.0222,1.0068,0.064,1.01
0.646022,-0.0166,1.01,0.055,1.01
0.679882,-0.0242,1.0058,0.0513,1.01
0.699229,-0.03,1.0031,0.0518,1
0.714249,-0.0254,1.0009,0.0535,1
0.729501,-0.0261,1.0036,0.0782,1.01
0.746127,-0.0261,1.0036,0.0789,1.01
0.780132,-0.0288,1.0039,0.0613,1.01
0.800396,-0.0244,1.0017,0.0762,1
0.816154,-0.03,1.0007,0.0755,1
0.829523,-0.0325,1.0014,0.0684,1
0.847371,-0.0337,1.0004,0.065,1
0.880221,-0.0274,1.0034,0.0525,1.01
0.900776,-0.0247,1.0051,0.0547,1.01
0.915887,-0.0288,1.0085,0.0537,1.01
0.929888,-0.0325,1.0107,0.0493,1.01
0.963984,-0.0337,0.9987,0.0733,1
0.981082,-0.0337,1.0019,0.0691,1
1.001031,-0.0296,1.0034,0.0621,1.01
1.015932,-0.0322,1.007,0.0581,1.01
1.030207,-0.0359,1.0075,0.0584,1.01
1.064281,-0.03,1.0024,0.0613,1
1.083672,-0.0318,1.0021,0.0547,1
1.097718,-0.0286,1.0034,0.0545,1.01
1.114046,-0.0254,1.0041,0.0591,1.01
1.131068,-0.0254,1.01,0.0618,1.01
1.165362,-0.0398,1.0056,0.0713,1.01
1.181886,-0.0313,1.0043,0.0384,1.01
1.201599,-0.0442,1.0109,0.0586,1.01
1.216529,-0.0213,1.0146,0.0721,1.02
1.231585,-0.0242,1.0051,0.0559,1.01
1.265516,-0.0327,0.996,0.0682,1
1.282128,-0.0325,0.9975,0.0794,1
1.301989,-0.0381,1.0021,0.074,1.01
1.317327,-0.0347,1.0034,0.0572,1.01
1.331726,-0.0293,1.0009,0.0603,1
1.365868,-0.0357,1.0024,0.0618,1
1.382001,-0.0325,1.0024,0.0515,1
1.401985,-0.0247,1.0085,0.0586,1.01
1.417347,-0.0215,1.0117,0.0665,1.01
1.432157,-0.0247,1.0107,0.0569,1.01
1.465854,-0.0352,1.0102,0.0577,1.01
1.482602,-0.0293,1.0119,0.0474,1.01
1.50275,-0.0293,1.0026,0.0445,1
1.517735,-0.0371,1.019,0.0432,1.02
1.549603,-0.0327,1.0224,0.0945,1.03
1.56558,-0.0337,1.0158,0.0919,1.02
1.585974,-0.0259,1.0192,0.0647,1.02
1.601906,-0.0188,1.0217,0.0621,1.02
1.615626,-0.0203,1.0139,0.0647,1.02
1.650138,-0.0024,1.0148,0.0826,1.02
1.666949,-0.0166,1.0087,0.0943,1.01
1.686809,-0.0156,0.9982,0.1134,1
1.701873,-0.0193,0.9914,0.1063,1
1.716018,-0.0208,0.9843,0.116,0.99
1.749577,-0.0227,0.9623,0.1664,0.98
1.767215,-0.011,0.9787,0.1517,0.99
1.78398,-0.0071,0.9965,0.161,1.01
1.803879,-0.0061,0.9894,0.1722,1
1.819125,-0.0105,0.9628,0.1835,0.98
1.849988,-0.0269,0.9574,0.1918,0.98
1.867424,-0.0269,0.964,0.2064,0.99
1.883502,-0.0239,0.975,0.1783,0.99
1.903753,-0.0489,1.0017,0.1681,1.02
1.926821,-0.0413,0.9897,0.117,1
1.937996,-0.0418,0.9912,0.1395,1
1.967736,-0.0198,0.9838,0.1713,1
1.984218,-0.0327,0.985,0.1659,1
2.003676,-0.0528,0.9882,0.1466,1
2.018164,-0.0479,0.9899,0.129,1
2.051694,-0.0239,0.988,0.1708,1
2.067508,-0.032,0.9909,0.1627,1
2.087987,-0.0303,0.987,0.1473,1
2.101757,-0.0249,1.0046,0.1488,1.02
2.118953,-0.0457,1.0031,0.1612,1.02
2.151467,-0.0569,0.9951,0.1283,1
2.170863,-0.0293,0.9885,0.1195,1
2.185479,-0.0266,0.9806,0.1385,0.99
2.205292,-0.0298,0.9738,0.1586,0.99
2.235845,-0.0603,0.9836,0.1673,1
2.251561,-0.0628,1.0021,0.1898,1.02
2.268725,-0.0432,1.0158,0.1786,1.03
2.288749,-0.0362,1.0073,0.1798,1.02
2.301679,-0.0388,1.0034,0.1717,1.02
2.335158,-0.0489,0.985,0.1586,1
2.35275,-0.0586,0.9843,0.1608,1
2.369565,-0.0511,0.9826,0.1622,1
2.385756,-0.0428,0.9767,0.1578,0.99
2.40528,-0.0193,0.9858,0.1586,1
2.435389,-0.0337,0.9973,0.159,1.01
2.452851,-0.0501,1.0009,0.163,1.02
2.469714,-0.0381,1.0068,0.1537,1.02
2.489588,-0.0276,1.0009,0.1573,1.01
2.502795,-0.02,1.0012,0.1605,1.01
2.536188,-0.0242,0.9855,0.148,1
2.553816,-0.0242,0.9824,0.1461,0.99
2.569856,-0.032,0.9828,0.1488,0.99
2.589956,-0.032,0.985,0.148,1
2.605378,-0.0171,0.9936,0.15,1
2.642844,-0.023,1.0185,0.1498,1.03
2.653469,-0.0288,1.0117,0.1659,1.03
2.669496,-0.022,0.9926,0.1473,1
2.689091,-0.0261,0.9753,0.1842,0.99
