time,gFx,gFy,gFz,TgF
0.57922,0.0103,0.9672,0.1823,0.98
0.617548,0.0726,1.0073,0.1786,1.03
0.618637,0.075,1.01,0.1666,1.03
0.639562,0.0728,1.0214,0.1681,1.04
0.66239,0.0794,1.0197,0.2033,1.04
0.678827,0.0579,1.0368,0.2135,1.06
0.698992,-0.0032,1.0407,0.181,1.06
0.719564,-0.0132,1.0202,0.2006,1.04
0.746506,-0.0254,1.0017,0.2399,1.03
0.762978,-0.002,0.9853,0.2201,1.01
0.779185,-0.0254,0.967,0.1954,0.99
0.802351,-0.0452,0.9557,0.1681,0.97
0.828763,-0.0315,0.9547,0.1947,0.97
0.8464,0.0298,0.9643,0.1864,0.98
0.86325,0.0738,0.9738,0.1659,0.99
0.898216,0.1073,0.9682,0.1493,0.99
0.919543,0.141,0.9569,0.1439,0.98
0.937113,0.1195,0.9555,0.1212,0.97
0.946593,0.1087,0.9543,0.1109,0.97
0.963398,0.086,0.9572,0.1209,0.97
1.002175,0.0716,0.964,0.1783,0.98
1.023949,0.0557,0.9699,0.1656,0.99
1.024362,0.0557,0.9699,0.1656,0.99
1.047032,0.0281,0.9826,0.172,1
1.064153,0.0105,0.9943,0.1776,1.01
1.096851,0.0464,0.9995,0.1964,1.02
1.120108,0.0518,0.9777,0.1393,0.99
1.140449,0.0718,0.9662,0.0745,0.97
1.14898,0.0672,0.9716,0.0801,0.98
1.180404,0.0787,1.019,0.1417,1.03
1.197462,0.1153,1.0219,0.0745,1.03
1.219533,0.0999,1.072,-0.0034,1.08
1.240719,-0.0129,1.1558,0.0445,1.16
1.248382,-0.0479,1.19,0.0818,1.19
1.280821,0.0357,1.2665,0.119,1.27
1.298361,0.0909,1.2851,0.0919,1.29
1.317141,0.1092,1.2938,0.0809,1.3
1.335837,0.1065,1.2975,0.0257,1.3
1.346918,0.0838,1.3031,-0.0628,1.31
1.380332,-0.0596,1.3107,-0.0181,1.31
1.397549,-0.075,1.2416,0.0093,1.24
1.417706,-0.1029,1.0828,-0.0843,1.09
1.4336,-0.0938,0.945,-0.2006,0.97
1.448395,-0.0721,0.8436,-0.2961,0.9
1.481597,-0.1292,0.8971,-0.3193,0.96
1.502489,-0.1761,1.0461,-0.2448,1.09
1.51732,-0.213,1.1311,-0.2595,1.18
1.537535,-0.2077,1.1785,-0.2128,1.22
1.563923,-0.1539,1.1267,-0.1483,1.15
1.582169,-0.1427,1.0381,-0.1845,1.06
1.601291,-0.1334,0.9396,-0.181,0.97
1.624231,-0.1361,0.8763,-0.1612,0.9
1.631957,-0.1356,0.8639,-0.1578,0.89
1.649843,-0.1141,0.8331,-0.1478,0.85
