time,gFx,gFy,gFz,TgF
0.513038,-0.108,0.9591,0.1373,0.97
0.530268,-0.1214,0.9846,0.1532,1
0.551569,-0.1378,0.9882,0.2365,1.03
0.57993,-0.1361,1.0146,0.2314,1.05
0.597777,-0.1173,1.0266,0.266,1.07
0.614439,-0.1156,1.0068,0.2389,1.04
0.631667,-0.1053,0.9711,0.2404,1.01
0.668616,-0.1178,0.8968,0.2233,0.93
0.680839,-0.1356,0.8871,0.2125,0.92
0.697351,-0.1368,0.8966,0.1517,0.92
0.714476,-0.1126,0.932,0.2292,0.97
0.7329,-0.0782,0.9899,0.191,1.01
0.751986,-0.0708,0.997,0.2262,1.02
0.78127,-0.107,0.8851,0.1529,0.9
0.798732,-0.1121,0.8038,0.162,0.83
0.815939,-0.1114,0.7727,0.1554,0.8
0.831738,-0.1151,0.7972,0.1568,0.82
0.855217,-0.1053,0.9034,0.214,0.93
0.88128,-0.0694,1.0029,0.2201,1.03
0.898859,-0.0589,0.9457,0.1764,0.96
0.915466,-0.0413,0.859,0.0972,0.87
0.949391,-0.0327,0.7703,0.1312,0.78
0.970627,-0.0858,0.8214,0.1984,0.85
0.984144,-0.1134,0.8841,0.2675,0.93
0.999671,-0.1478,0.9775,0.3015,1.03
1.015437,-0.1913,1.0339,0.2458,1.08
1.056466,-0.0887,0.8959,0.1383,0.91
1.057351,-0.0867,0.8912,0.1346,0.91
1.082111,-0.0999,0.86,0.2621,0.9
1.099404,-0.1302,0.9462,0.3156,1.01
1.114833,-0.1405,1.0735,0.3029,1.12
1.149733,-0.152,1.2254,0.1366,1.24
1.171146,-0.0806,1.2081,0.1832,1.22
1.18315,0.0198,1.2118,0.1954,1.23
1.200297,0.0533,1.1986,0.1182,1.21
1.23369,-0.032,1.03,0.213,1.05
1.251051,-0.0457,0.9638,0.1695,0.98
1.271303,-0.0391,1.028,0.1786,1.04
1.287263,-0.0046,1.1541,0.258,1.18
1.304081,0.0107,1.267,0.2118,1.28
1.33284,0.0796,1.286,0.2233,1.31
1.35038,0.0137,1.1412,0.1903,1.16
1.37058,-0.0176,1.03,0.2433,1.06
1.386383,-0.0283,0.987,0.2253,1.01
1.417135,-0.0076,0.9582,0.1686,0.97
1.433485,-0.0012,0.9279,0.1586,0.94
1.465947,-0.0115,0.8937,0.2081,0.92
1.471809,-0.0132,0.8998,0.2111,0.92
1.483438,-0.0181,0.9103,0.1898,0.93
1.51646,-0.0572,0.911,0.1634,0.93
