time,gFx,gFy,gFz,TgF
2.675174,-0.0195,0.9877,0.1732,1
2.702889,-0.0034,0.9975,0.1407,1.01
2.719653,-0.0291,0.9863,0.1996,1.01
2.737075,-0.0049,0.9985,0.1339,1.01
2.774656,-0.0198,0.9848,0.1549,1
2.788433,-0.0122,0.9929,0.1524,1
2.803583,-0.0056,0.9914,0.1796,1.01
2.820327,-0.0095,1.0009,0.1656,1.01
2.835905,-0.0254,0.997,0.1488,1.01
2.858546,-0.0254,0.988,0.1415,1
2.886705,-0.0056,0.9894,0.1586,1
2.904101,-0.0149,0.9936,0.1615,1.01
2.92181,-0.0247,0.9995,0.1673,1.01
2.936383,-0.0049,1.0036,0.152,1.02
2.957198,-0.0147,0.9907,0.171,1.01
2.987338,-0.0195,0.9872,0.1671,1
3.004328,-0.0191,0.9841,0.17,1
3.020422,-0.0156,0.9907,0.1688,1.01
3.038707,-0.0125,0.9936,0.1578,1.01
3.079344,-0.0161,0.9926,0.163,1.01
3.092474,-0.0176,0.9907,0.1661,1
3.104919,-0.0171,0.9933,0.1649,1.01
3.121885,-0.0154,0.9926,0.1608,1.01
3.139422,-0.009,0.9938,0.1571,1.01
3.182092,-0.0225,0.9919,0.1598,1
3.182562,-0.0225,0.9919,0.1598,1
3.209437,-0.0115,0.9872,0.1678,1
3.222414,-0.0127,0.9916,0.1649,1.01
3.258667,-0.0291,0.9894,0.1561,1
3.271812,-0.022,0.9907,0.1598,1
3.288011,-0.02,0.9924,0.1649,1.01
3.304871,-0.0107,0.9963,0.1612,1.01
3.34206,-0.0239,0.987,0.1964,1.01
3.355467,-0.02,0.9909,0.1073,1
3.375848,-0.0093,0.9887,0.1195,1
3.388556,0.0005,0.9992,0.1676,1.01
3.405738,0.0056,0.9919,0.1283,1
3.438871,-0.0227,0.9948,0.1483,1.01
3.457864,-0.0137,0.9975,0.1749,1.01
3.478015,-0.0024,0.9999,0.1542,1.01
3.48842,-0.0032,1.0007,0.1471,1.01
3.506767,-0.0169,0.9946,0.1473,1.01
3.539506,-0.0264,0.9731,0.1559,0.99
3.557406,-0.0095,0.9838,0.1532,1
3.577394,-0.0034,1.0029,0.1859,1.02
3.588182,0.0027,1.0065,0.1454,1.02
3.605837,-0.0239,0.999,0.16,1.01
3.639428,-0.0166,0.9838,0.17,1
3.657425,-0.0083,0.9811,0.1634,0.99
3.677645,-0.0112,0.9914,0.1603,1
3.688828,-0.0178,0.9924,0.1568,1
3.706833,-0.0166,0.999,0.1578,1.01
3.740577,-0.0037,1.0014,0.16,1.01
3.763204,-0.0112,0.9907,0.1603,1
3.773029,-0.0166,0.9858,0.1581,1
3.791039,-0.0154,0.9838,0.1561,1
3.810617,-0.0071,0.9943,0.1578,1.01
3.840908,-0.0151,0.9951,0.1586,1.01
3.862836,-0.02,0.9907,0.1605,1
3.874316,-0.0149,0.9904,0.1632,1
3.890868,-0.0076,0.9941,0.16,1.01
3.924405,-0.0147,0.9926,0.1532,1
3.939898,-0.0195,0.9912,0.1593,1
3.962255,-0.0112,0.9897,0.1534,1
3.973837,-0.0066,0.9912,0.1695,1.01
4.00798,-0.0105,0.9985,0.1573,1.01
4.024038,-0.0388,0.9875,0.1649,1
4.04179,0.002,0.9916,0.109,1
4.05906,0.0095,0.9914,0.1502,1
4.080057,-0.0171,0.9841,0.1522,1
4.10865,-0.0154,1.0012,0.17,1.02
4.124478,-0.011,0.9995,0.1735,1.01
4.142291,-0.0064,0.9904,0.1715,1.01
4.1588,-0.0193,0.9853,0.1454,1
4.181616,-0.0227,0.989,0.1434,1
4.208745,-0.0127,0.9894,0.1488,1
4.225211,-0.0044,0.9982,0.1138,1
4.242184,-0.0137,0.998,0.1744,1.01
4.258756,-0.011,0.9987,0.1307,1.01
4.279643,-0.0086,0.9933,0.1659,1.01
4.308831,-0.0134,0.988,0.1542,1
4.325402,-0.0147,0.9914,0.1564,1
4.342679,-0.0139,0.9931,0.1534,1
4.364389,-0.0064,0.9955,0.1478,1.01
4.379684,-0.0002,0.9975,0.1498,1.01
4.408968,-0.0154,0.9929,0.1539,1
4.427011,-0.0164,0.9865,0.1495,1
4.443076,-0.0132,0.988,0.1517,1
