time,gFx,gFy,gFz,TgF
0.532913,-0.0743,0.9938,0.0406,1
0.562672,-0.0784,0.9667,0.021,0.97
0.578755,-0.096,0.9494,0.011,0.95
0.595309,-0.1204,0.955,0.0545,0.96
0.615993,-0.1341,0.9697,0.0872,0.98
0.636464,-0.1014,0.9985,0.1055,1.01
0.662275,-0.0755,1.0131,0.0799,1.02
0.679077,-0.0948,1.0307,0.0936,1.04
0.696827,-0.1322,1.0476,0.1309,1.06
0.714119,-0.1283,1.0512,0.1407,1.07
0.737712,-0.095,1.0417,0.1239,1.05
0.75972,-0.0694,1.0058,0.0967,1.01
0.778293,-0.074,0.9811,0.0977,0.99
0.795427,-0.0848,0.9604,0.0875,0.97
0.831429,-0.0906,0.9611,0.0557,0.97
0.854318,-0.085,0.9816,0.0809,0.99
0.863658,-0.0853,0.985,0.0831,0.99
0.880224,-0.087,0.9965,0.0799,1
0.898658,-0.076,1.0019,0.0574,1.01
0.931577,-0.0765,1.0051,0.1043,1.01
0.948958,-0.0689,1.0051,0.0762,1.01
0.962381,-0.0867,1.0146,0.1173,1.03
0.979804,-0.063,1.0041,0.0665,1.01
1.016735,-0.0916,1.0224,0.1014,1.03
1.038222,-0.0779,1.018,0.0618,1.02
1.046509,-0.0801,1.0117,0.0535,1.02
1.064726,-0.0909,1.0046,0.0528,1.01
1.081934,-0.0967,0.9982,0.0696,1.01
1.119573,-0.0635,1.0295,0.084,1.03
1.140672,-0.0701,1.0481,0.1031,1.06
1.146967,-0.0696,1.0488,0.107,1.06
1.164783,-0.0493,1.0576,0.0858,1.06
1.198747,-0.063,1.0586,0.064,1.06
1.216033,-0.0638,1.0561,0.0107,1.06
1.23609,-0.0386,1.0393,-0.0271,1.04
1.254776,-0.0068,1.0359,-0.0017,1.04
1.264838,0.0274,1.0415,0.0161,1.04
1.298669,0.0222,0.9931,-0.0217,0.99
1.315104,0.0244,0.9657,-0.0401,0.97
1.335525,0.0059,0.9496,-0.0845,0.95
1.356566,0.0068,0.9755,-0.0572,0.98
1.381089,0.0589,1.0222,-0.0235,1.02
1.399143,0.0804,1.0605,-0.0166,1.06
1.420505,0.0794,1.0879,0.0283,1.09
1.436144,0.0875,1.0903,0.0396,1.09
1.448615,0.0919,1.0935,0.0437,1.1
1.48235,0.0667,1.0429,0.0051,1.05
1.500075,0.0381,1.0139,-0.012,1.01
1.516235,0.0215,0.9968,0.0042,1
1.540048,0.0354,0.9679,0.0401,0.97
1.559994,0.0308,0.9574,0.0347,0.96
1.571716,0.0322,0.9596,0.0171,0.96
1.600972,0.0862,0.9667,-0.011,0.97
1.617036,0.0601,1.0039,0.0452,1.01
1.637884,0.0679,1.0105,0.0547,1.01
1.661558,0.0469,0.9897,0.0623,0.99
1.683184,0.0628,0.996,0.0581,1
1.700334,0.0858,1.0183,0.0691,1.02
1.717056,0.0926,1.0058,0.0733,1.01
1.7375,0.0887,0.9885,0.0542,0.99
1.756813,0.0901,0.9936,0.0557,1
1.783396,0.0982,1.0158,0.066,1.02
