time,gFx,gFy,gFz,TgF
1.248859,-0.1331,0.9665,0.0371,0.98
1.283175,-0.0491,0.8756,0.0122,0.88
1.304008,-0.0569,0.9061,0.0755,0.91
1.325915,-0.0193,1.0581,-0.0164,1.06
1.334808,-0.032,1.1314,0.0054,1.13
1.349559,-0.0635,1.2582,0.0806,1.26
1.383767,0.0647,1.2765,-0.1441,1.29
1.40421,0.2072,1.1534,0.0024,1.17
1.426636,0.1986,1.0412,-0.0814,1.06
1.433989,0.0921,1.0947,-0.1444,1.11
1.449423,-0.0721,1.2606,0.0862,1.27
1.486383,0.2008,1.4729,0.0591,1.49
1.506501,0.2079,1.3466,0.0232,1.36
1.516514,0.1417,1.2826,0.0836,1.29
1.532972,0.0755,1.2296,0.1512,1.24
1.566901,0.1097,1.1026,0.0454,1.11
1.584385,0.0704,1.0249,0.0376,1.03
1.607812,0.0159,0.9665,0.0689,0.97
1.628958,-0.0034,0.9093,0.066,0.91
1.643326,-0.0261,0.8702,0.0027,0.87
1.666684,-0.0086,0.8047,-0.009,0.8
1.682906,0.0335,0.7845,0.0457,0.79
1.703115,0.0601,0.7703,0.0679,0.78
1.733277,0.0537,0.774,0.0266,0.78
1.750019,0.074,0.763,-0.0581,0.77
1.76689,0.0657,0.7542,-0.0713,0.76
1.785745,0.0535,0.7539,-0.0445,0.76
1.803207,0.0567,0.7693,-0.0415,0.77
1.834317,0.0833,0.8763,0.1598,0.89
1.850529,0.1102,0.9025,0.1595,0.92
1.869282,0.1373,0.8978,0.0547,0.91
1.885287,0.0926,0.8739,0.0264,0.88
1.912008,0.0283,0.8519,0.0511,0.85
1.939076,0.0132,0.8749,0.2182,0.9
1.951307,0.0266,0.8861,0.2077,0.91
1.966919,0.0599,0.8949,0.0884,0.9
1.986147,0.1099,0.8961,-0.0288,0.9
2.01759,0.0303,1.0144,-0.1151,1.02
2.034856,-0.0303,1.146,-0.0501,1.15
2.05071,-0.0591,1.2272,0.096,1.23
2.067883,0.0195,1.2621,0.063,1.26
2.084222,0.034,1.2882,-0.1415,1.3
2.104748,-0.1085,1.3652,-0.0911,1.37
2.126661,-0.206,1.4314,0.1202,1.45
2.152301,0.031,1.3811,-0.0198,1.38
2.168329,0.0943,1.3298,-0.0227,1.33
2.188609,0.0713,1.2496,0.1197,1.26
2.211256,-0.0298,1.1602,0.0523,1.16
