time,gFx,gFy,gFz,TgF
0.364993,-0.0828,1.0886,0.226,1.11
0.395875,-0.0645,1.064,0.2714,1.1
0.412504,-0.0403,1.039,0.2377,1.07
0.429345,-0.0318,1.0298,0.3279,1.08
0.445468,-0.0213,0.9882,0.334,1.04
0.465665,-0.0208,0.9139,0.3144,0.97
0.49565,-0.1014,0.8763,0.2731,0.92
0.513124,-0.1229,0.8983,0.2448,0.94
0.529098,-0.1273,0.9281,0.2536,0.97
0.546203,-0.129,0.9482,0.269,0.99
0.565904,-0.1231,0.9638,0.2382,1
0.596689,-0.1131,0.9709,0.2196,1
0.612977,-0.1026,0.945,0.2101,0.97
0.629715,-0.088,0.9286,0.1913,0.95
0.647252,-0.0831,0.9164,0.2712,0.96
0.683583,-0.1031,0.8929,0.2424,0.93
0.703861,-0.1043,0.9293,0.3178,0.99
0.712654,-0.0897,0.9462,0.3274,1.01
0.735224,-0.0728,0.9611,0.28,1
0.74644,-0.0755,0.9723,0.2707,1.01
0.779948,-0.1312,1.0464,0.2912,1.09
0.796568,-0.1397,1.0801,0.2314,1.11
0.813238,-0.1429,1.1245,0.1603,1.14
0.830788,-0.1542,1.2071,0.0965,1.22
0.867363,-0.1441,1.3549,0.108,1.37
0.883426,-0.1652,1.3134,0.054,1.32
0.897013,-0.1334,1.1949,0.0195,1.2
0.914435,-0.0945,0.9877,0.0684,0.99
0.931077,0.0002,0.8756,0.1219,0.88
0.967549,0.0313,0.9704,-0.0643,0.97
0.980777,-0.0247,1.0156,-0.0606,1.02
0.999557,-0.0669,1.0148,-0.073,1.02
1.014217,-0.0838,0.9992,-0.0418,1
1.031939,-0.009,0.9381,-0.0337,0.94
1.068438,0.1732,0.8514,-0.0616,0.87
1.083621,0.141,0.9056,0.0584,0.92
1.098467,0.0481,0.9513,0.1283,0.96
1.115316,0.0322,0.997,0.1412,1.01
1.148417,0.0721,1.0232,0.1175,1.03
1.165276,0.0889,0.9706,0.1202,0.98
1.186113,0.0782,0.9039,0.1512,0.92
1.203196,0.0533,0.8964,0.1544,0.91
1.214957,0.0261,0.9066,0.1566,0.92
1.249187,0.0095,0.9149,0.1869,0.93
1.265604,0.021,0.91,0.1945,0.93
1.286127,0.0501,0.921,0.1888,0.94
1.303709,0.0442,0.9423,0.1847,0.96
1.315191,0.0496,0.9545,0.1705,0.97
1.348873,0.0161,0.9645,0.1813,0.98
1.366423,0.011,0.9491,0.1891,0.97
1.387094,0.0017,0.9423,0.1659,0.96
1.404486,0.0076,0.9523,0.1451,0.96
1.416148,0.0222,0.9719,0.1649,0.99
1.449204,0.0523,1.0657,0.1678,1.08
1.466623,0.0281,1.1343,0.1356,1.14
1.486427,-0.0066,1.1939,0.1385,1.2
1.499871,-0.0059,1.2069,0.152,1.22
1.516597,0.0164,1.2135,0.1424,1.22
1.550652,-0.0662,1.3109,0.2086,1.33
1.56705,-0.1583,1.3498,0.1695,1.37
1.588099,-0.1385,1.1949,0.1451,1.21
1.601958,-0.0679,1.0254,0.1461,1.04
1.617025,0.0237,0.8497,0.1434,0.86
1.650888,-0.0191,0.6816,0.1092,0.69
1.666731,-0.095,0.7178,0.0877,0.73
1.694831,-0.1437,0.7766,0.0467,0.79
1.704137,-0.163,0.8267,-0.0313,0.84
