time,gFx,gFy,gFz,TgF
9.677221,-0.1996,1.148,0.0853,1.17
9.693243,-0.1444,1.0327,0.1368,1.05
9.716152,-0.1666,0.8343,0.106,0.86
9.738713,-0.2717,0.7085,0.0657,0.76
9.760919,-0.2888,0.7669,0.0943,0.82
9.776704,-0.2639,0.8536,0.1226,0.9
9.795115,-0.2348,0.9533,0.1253,0.99
9.810757,-0.2404,0.998,0.076,1.03
9.833783,-0.256,0.9912,0.086,1.03
9.857165,-0.1989,0.9555,0.1339,0.99
9.878983,-0.172,0.9274,0.1187,0.95
9.895092,-0.1669,0.9003,0.1388,0.93
9.932918,-0.1779,0.9235,0.161,0.95
9.934545,-0.1759,0.9262,0.1612,0.96
9.954743,-0.1522,1.0017,0.16,1.03
9.978332,-0.1361,1.1008,0.1703,1.12
9.995224,-0.1595,1.136,0.1783,1.16
10.018318,-0.1915,1.0994,0.1754,1.13
10.037226,-0.1896,1.0486,0.1285,1.07
10.062508,-0.1417,1.061,0.2255,1.09
10.078891,-0.1583,1.1004,0.1476,1.12
10.095525,-0.1972,1.1431,0.1974,1.18
10.118054,-0.0572,1.1602,0.1761,1.17
10.142107,-0.1466,0.9474,0.0261,0.96
10.162678,-0.2318,0.6919,-0.1312,0.74
10.178378,-0.173,0.624,-0.0337,0.65
10.196276,0.0801,0.8458,0.1564,0.86
10.235549,0.0718,1.5303,-0.0166,1.53
10.256327,-0.172,1.4722,0.0899,1.48
10.262755,-0.2103,1.3505,0.1063,1.37
10.278732,-0.2096,1.0114,0.1405,1.04
10.313253,-0.1021,0.6706,0.1046,0.69
10.334756,0.0176,0.8043,0.1309,0.82
10.355115,-0.0203,0.9396,0.1197,0.95
10.363072,-0.0244,0.9672,0.1449,0.98
10.379071,-0.044,0.9794,0.0858,0.98
10.413377,-0.0117,0.9655,0.1165,0.97
10.435228,-0.0022,0.9936,0.1129,1
10.456101,-0.0672,1.0256,0.1375,1.04
10.46301,-0.0928,1.0332,0.1439,1.05
10.479846,-0.1368,1.0478,0.1493,1.07
10.516513,-0.0706,1.0793,0.0476,1.08
10.540969,0.0335,1.1431,0.1121,1.15
10.546412,0.043,1.1519,0.1197,1.16
10.563152,0.0515,1.1719,0.1319,1.18
10.598374,0.0027,1.2408,0.0906,1.24
10.616328,0.0068,1.3019,0.0877,1.3
10.632347,0.0169,1.3197,0.0557,1.32
10.646152,0.011,1.3283,0.0401,1.33
10.664064,-0.0198,1.3654,0.1473,1.37
10.697346,-0.1131,1.4172,0.1322,1.43
10.718546,-0.2147,1.2259,0.0755,1.25
10.74173,-0.3728,0.9274,-0.0437,1
10.748378,-0.3792,0.8795,-0.0882,0.96
10.780341,-0.1307,0.8294,-0.0054,0.84
10.798847,-0.0518,0.9044,-0.0059,0.91
10.815657,-0.076,1.0058,-0.0303,1.01
10.835715,-0.1524,1.0527,0.0139,1.06
10.858231,-0.2248,0.9464,0.0484,0.97
10.866934,-0.2226,0.87,0.0618,0.9
10.898861,-0.14,0.6396,0.0095,0.65
10.916049,-0.0662,0.5624,0.0332,0.57
10.935872,-0.0098,0.5277,-0.0015,0.53
10.959788,0.0034,0.5819,0.0227,0.58
10.981232,-0.0572,0.6689,0.0215,0.67
10.998941,-0.1141,0.7461,-0.0042,0.75
11.020253,-0.1823,0.8617,0.023,0.88
11.042487,-0.202,1.0021,0.0828,1.03
11.050391,-0.1974,1.0466,0.0931,1.07
11.083814,-0.1703,1.1001,0.0994,1.12
11.0979,-0.1571,1.0552,0.1178,1.07
11.116864,-0.1515,0.9794,0.1222,1
11.138143,-0.1317,0.9406,0.1202,0.96
11.15244,-0.1287,0.9457,0.1251,0.96
11.183447,-0.1813,1.0334,0.1107,1.06
11.198472,-0.1994,1.0669,0.1192,1.09
11.223187,-0.152,1.1194,0.0364,1.13
11.248181,-0.1524,1.1399,0.0024,1.15
11.264681,-0.1906,1.1795,-0.0022,1.19
11.281506,-0.2619,1.2499,0.076,1.28
11.298294,-0.224,1.3376,0.0677,1.36
11.317016,-0.129,1.4744,0.0858,1.48
11.348284,-0.2529,1.4741,0.0264,1.5
11.365248,-0.1498,1.3852,-0.0144,1.39
11.381995,-0.0388,1.2758,-0.0369,1.28
11.398831,0.0379,1.1602,-0.0357,1.16
11.419191,0.073,1.0075,-0.0589,1.01
11.438249,0.0508,0.9406,-0.1026,0.95
11.466112,0.0779,1.0769,0.0125,1.08
11.483079,0.0376,1.1306,-0.0269,1.13
11.500894,-0.0484,1.0818,0.0056,1.08
11.536188,-0.0635,0.8277,0.0589,0.83
11.557238,-0.0428,0.676,0.0691,0.68
11.568068,-0.0215,0.6403,0.0513,0.64
11.582842,0.0017,0.6303,0.0357,0.63
11.599907,0.0183,0.6323,0.0239,0.63
11.638228,0.0342,0.6726,0.0086,0.67
11.659633,0.0169,0.7021,-0.0024,0.7
11.669964,-0.0024,0.7192,0.0188,0.72
11.683854,-0.0156,0.7471,0.0183,0.75
11.720221,-0.0049,0.8284,0.0645,0.83
11.741376,0.0415,0.9027,0.0782,0.91
