time,gFx,gFy,gFz,TgF
2.019945,-0.0259,1.0036,0.1051,1.01
2.031625,-0.0322,1.0017,0.1036,1.01
2.049127,-0.0344,0.9846,0.0884,0.99
2.081703,-0.0525,0.9765,0.0899,0.98
2.115225,-0.0464,0.9784,0.0965,0.98
2.115596,-0.0464,0.9784,0.0965,0.98
2.136181,-0.0313,0.9745,0.0484,0.98
2.164825,-0.0442,0.9816,0.0511,0.98
2.181937,-0.0572,0.9892,0.0498,0.99
2.215237,-0.0572,0.9938,0.0354,1
2.218897,-0.0616,0.998,0.0342,1
2.231542,-0.0611,1.0063,0.0296,1.01
2.265568,-0.0415,1.0227,0.0376,1.02
2.282615,-0.0564,1.0207,0.0249,1.02
2.299334,-0.0711,1.0234,0.0103,1.03
2.32202,-0.0699,1.0256,-0.0015,1.03
2.339034,-0.0579,1.0205,0.0032,1.02
2.365545,-0.0369,1.0124,0.0249,1.01
2.383162,-0.0572,1.01,-0.009,1.01
2.399497,-0.0567,1.0126,0.0093,1.01
2.420637,-0.0452,1.0041,0.0183,1.01
2.438177,-0.0493,0.9973,0.0291,1
2.466482,-0.041,0.9992,0.0621,1
2.483453,-0.0386,1.0007,0.0484,1
2.504763,-0.0452,1.0009,0.0259,1
2.522008,-0.0489,0.9997,0.055,1
2.533294,-0.0467,0.998,0.0628,1
2.567187,-0.0349,1.0065,0.0288,1.01
2.584387,-0.0437,1.0075,0.0318,1.01
2.604567,-0.0457,1.0114,0.0452,1.01
2.620769,-0.0447,1.0085,0.034,1.01
2.649995,-0.0388,1.0083,0.0369,1.01
2.671528,-0.0413,1.0126,0.0266,1.01
2.684991,-0.045,1.0175,0.0269,1.02
2.705825,-0.0474,1.0168,0.0486,1.02
2.72089,-0.0474,1.008,0.042,1.01
2.750564,-0.041,0.9995,0.0393,1
2.767381,-0.0376,1.0041,0.042,1.01
2.78574,-0.0354,1.0048,0.0418,1.01
2.801421,-0.0447,1.0075,0.0386,1.01
2.823827,-0.0403,1.0112,0.0408,1.01
2.837683,-0.0403,1.0058,0.0322,1.01
2.867198,-0.0418,1.0053,0.0337,1.01
2.885646,-0.0374,1.0087,0.0533,1.01
2.902316,-0.0359,1.009,0.0391,1.01
2.924458,-0.043,1.0039,0.032,1.01
2.950602,-0.0489,1.0043,0.0344,1.01
2.968362,-0.041,1.0021,0.0508,1
2.984644,-0.0384,1.0014,0.0628,1
3.006284,-0.0327,0.9951,0.0523,1
3.022972,-0.052,0.9965,0.0117,1
3.051387,-0.0318,1.0007,0.0515,1
3.070909,-0.041,1.0036,0.0271,1
3.08703,-0.0445,0.9977,0.0188,1
3.102605,-0.0467,1.0017,0.0349,1
3.122808,-0.0525,1.0112,0.0511,1.01
3.152803,-0.0425,1.01,0.0088,1.01
3.168729,-0.0445,1.0129,0.0159,1.01
3.186308,-0.044,1.0197,0.0252,1.02
3.203096,-0.041,1.0151,0.0186,1.02
3.230285,-0.0447,1.0041,0.0059,1.01
3.252827,-0.0457,1.0026,0.0171,1
3.268775,-0.0376,1.0058,0.012,1.01
3.286143,-0.0379,1.0136,0.0215,1.01
3.303597,-0.0379,1.0087,0.012,1.01
3.324007,-0.0457,1.0053,0.0191,1.01
3.353396,-0.0437,1.0058,0.0281,1.01
3.369275,-0.0359,1.0048,0.0205,1.01
3.386388,-0.0374,1.0036,0.0286,1
3.402606,-0.042,1.0046,0.0354,1.01
3.424719,-0.0525,1.0063,0.0252,1.01
3.452667,-0.0379,1.0041,0.0166,1
3.470415,-0.0352,1.0029,0.0286,1
3.486409,-0.0396,1.0068,0.0415,1.01
3.517395,-0.0406,1.0061,0.0305,1.01
3.525204,-0.0406,1.009,0.0264,1.01
3.554148,-0.0437,1.0048,0.0298,1.01
3.571056,-0.0398,1.008,0.0364,1.01
3.590286,-0.0369,1.0048,0.0315,1.01
3.626109,-0.0369,1.0026,0.0342,1
3.639863,-0.0386,1.0009,0.0098,1
3.65442,-0.0547,1.0031,0.0024,1
3.67069,-0.0442,1.0124,0.0288,1.01
3.688868,-0.0313,1.0031,0.0149,1
3.717451,-0.0349,1.0039,0.0139,1
3.74073,-0.0435,1.0124,0.0322,1.01
3.754199,-0.0423,1.0129,0.0359,1.01
3.770436,-0.0371,1.01,0.0164,1.01
3.787831,-0.0362,1.0092,0.0154,1.01
3.825048,-0.0432,1.01,0.0205,1.01
3.844687,-0.042,1.0046,0.0073,1.01
3.854371,-0.0415,1.0056,0.0083,1.01
3.871069,-0.0371,1.0051,0.0225,1.01
3.888513,-0.0374,1.0063,0.0288,1.01
3.926141,-0.0408,1.0131,0.0181,1.01
3.937867,-0.0364,1.0083,0.0169,1.01
3.95506,-0.034,1.0085,0.0325,1.01
3.973351,-0.0403,1.007,0.0359,1.01
4.005732,-0.0437,0.997,0.0254,1
4.033299,-0.0384,0.998,0.0342,1
4.038971,-0.0371,0.9997,0.0318,1
4.054125,-0.0381,1.0017,0.0203,1
4.09109,-0.0454,1.0105,0.0332,1.01
4.104914,-0.0388,1.0102,0.033,1.01
4.126334,-0.0371,1.0075,0.0254,1.01
4.138377,-0.0398,1.0078,0.0242,1.01
4.155839,-0.0386,1.0085,0.0213,1.01
4.188554,-0.0415,1.0056,0.0337,1.01
4.20674,-0.0406,1.0053,0.0335,1.01
4.226798,-0.0376,1.0024,0.042,1
4.242392,-0.0393,1.0056,0.0183,1.01
4.256218,-0.0525,1.0078,0.0012,1.01
4.289078,-0.0249,1.0046,0.0237,1.01
4.324957,-0.0452,0.9995,0.0266,1
4.325269,-0.0452,0.9995,0.0266,1
4.341184,-0.0437,1.0073,0.0313,1.01
4.356877,-0.0352,1.0141,0.0335,1.02
4.390174,-0.0406,1.0029,0.0186,1
4.40784,-0.0418,1.0085,0.0303,1.01
4.427463,-0.0398,1.0058,0.0286,1.01
4.439521,-0.0406,1.0092,0.0205,1.01
4.458358,-0.0442,1.0078,0.023,1.01
4.491813,-0.0286,1.0012,0.0205,1
4.508369,-0.0366,1.0073,0.0308,1.01
4.528533,-0.0459,1.0075,0.0254,1.01
4.542995,-0.0462,1.008,0.0154,1.01
4.574171,-0.0379,1.008,0.0396,1.01
4.59174,-0.0374,0.9999,0.0293,1
4.608587,-0.0445,1.0017,0.0308,1
4.629658,-0.0454,1.0048,0.031,1.01
4.642233,-0.0398,1.0056,0.0257,1.01
4.674999,-0.041,1.0051,0.0274,1.01
4.690891,-0.0401,1.0056,0.0296,1.01
4.713069,-0.0415,1.0068,0.0274,1.01
4.725459,-0.0435,1.0087,0.0259,1.01
4.741245,-0.0388,1.007,0.0242,1.01
4.775476,-0.0415,1.0087,0.0276,1.01
4.7919,-0.0369,1.0063,0.0261,1.01
4.808656,-0.034,1.0092,0.0217,1.01
4.829431,-0.0391,1.008,0.0418,1.01
4.842091,-0.0403,1.0065,0.0283,1.01
4.874646,-0.0354,1.0107,0.0291,1.01
4.892747,-0.0281,1.0041,0.0188,1
4.909842,-0.0386,1.0085,0.0291,1.01
4.930428,-0.0376,1.0017,0.0293,1
4.943537,-0.034,1.01,0.034,1.01
4.976182,-0.0239,1.0048,0.0205,1.01
4.992815,-0.0364,1.0048,0.0249,1.01
5.024584,-0.0344,1.0087,0.0286,1.01
5.026285,-0.0337,1.0114,0.0293,1.01
5.05811,-0.0322,1.0068,0.0208,1.01
5.076169,-0.0259,0.9995,0.0208,1
5.095766,-0.042,0.9992,0.0239,1
5.109961,-0.0437,1.0056,0.0415,1.01
5.12971,-0.0362,1.0058,0.0257,1.01
5.159788,-0.0349,1.0168,0.0344,1.02
5.17602,-0.0291,1.01,0.0376,1.01
5.192619,-0.0325,1.0058,0.0327,1.01
5.214264,-0.0428,1.0061,0.0352,1.01
5.225987,-0.0408,1.007,0.0349,1.01
5.260022,-0.0342,1.0004,0.0325,1
5.276358,-0.0369,1.0017,0.0408,1
5.292713,-0.0337,0.999,0.0406,1
5.316388,-0.0366,1.0041,0.0327,1.01
5.330886,-0.0452,1.0058,0.033,1.01
5.360401,-0.0279,1.0061,0.0371,1.01
5.37765,-0.0318,1.0041,0.0401,1.01
5.395385,-0.0415,1.0026,0.0386,1
5.410923,-0.0401,1.0056,0.0442,1.01
5.431954,-0.0413,1.0085,0.0537,1.01
5.459723,-0.0327,1.007,0.0398,1.01
5.47697,-0.0511,1.0031,0.0208,1
5.495141,-0.0281,1.0046,0.0489,1.01
5.510644,-0.0303,1.0051,0.0322,1.01
5.53243,-0.0547,0.9802,0.0513,0.98
5.560716,-0.0007,0.9965,0.0486,1
5.577469,-0.033,1.007,0.0413,1.01
5.594646,-0.0408,1.0029,0.0305,1
5.617645,-0.0472,1.0085,0.0506,1.01
5.629497,-0.0374,1.0068,0.0467,1.01
5.662186,-0.0379,1.0046,0.0369,1.01
5.679231,-0.0401,1.0048,0.0423,1.01
5.694175,-0.042,1.0102,0.0457,1.01
5.717545,-0.0366,1.0117,0.0386,1.01
5.731969,-0.0357,1.0122,0.0425,1.01
5.762484,-0.0555,0.9826,0.0408,0.99
5.77877,-0.0227,1.0241,0.0428,1.03
5.795387,-0.0271,1.0036,0.052,1.01
5.812236,-0.0354,1.0109,0.0293,1.01
5.833121,-0.0472,1.01,0.0486,1.01
5.8561,-0.045,1.0017,0.0447,1
5.877718,-0.0357,0.9977,0.0398,1
5.895416,-0.0369,1.0024,0.0474,1
5.931693,-0.0342,1.0075,0.0415,1.01
5.944722,-0.0379,1.0075,0.045,1.01
5.962108,-0.033,1.0068,0.044,1.01
5.97859,-0.0474,1.0029,0.0474,1.01
6.012429,-0.0112,0.9965,0.0467,1
6.034131,-0.0376,1.0087,0.0298,1.01
6.049178,-0.0398,1.0056,0.043,1.01
6.061842,-0.0413,1.0043,0.0484,1.01
6.079286,-0.0406,0.9995,0.0508,1
6.113451,-0.0435,0.9965,0.0198,1
6.136678,-0.0257,1.0058,0.0464,1.01
6.149596,-0.034,1.0031,0.0271,1
6.162763,-0.034,1.0083,0.0298,1.01
